1:ROR:<(int,int):!=(int,int):g0101_0200.s0118_pascals_triangle.Solution@generate(int):19:i < numRows |==> i != numRows
23:COR:||(boolean,boolean):TRUE(boolean,boolean):g0101_0200.s0118_pascals_triangle.Solution@generate(int):22:j == 0 || j == i || i <= 1 |==> true
24:STD:<CALL>:<NO-OP>:g0101_0200.s0118_pascals_triangle.Solution@generate(int):23:currRow.add(1); |==> <NO-OP>
25:AOR:-(int,int):%(int,int):g0101_0200.s0118_pascals_triangle.Solution@generate(int):25:i - 1 |==> i % 1
26:AOR:-(int,int):*(int,int):g0101_0200.s0118_pascals_triangle.Solution@generate(int):25:i - 1 |==> i * 1
27:AOR:-(int,int):+(int,int):g0101_0200.s0118_pascals_triangle.Solution@generate(int):25:i - 1 |==> i + 1
28:AOR:-(int,int):/(int,int):g0101_0200.s0118_pascals_triangle.Solution@generate(int):25:i - 1 |==> i / 1
29:AOR:-(int,int):%(int,int):g0101_0200.s0118_pascals_triangle.Solution@generate(int):25:j - 1 |==> j % 1
30:AOR:-(int,int):*(int,int):g0101_0200.s0118_pascals_triangle.Solution@generate(int):25:j - 1 |==> j * 1
31:AOR:-(int,int):+(int,int):g0101_0200.s0118_pascals_triangle.Solution@generate(int):25:j - 1 |==> j + 1
32:AOR:-(int,int):/(int,int):g0101_0200.s0118_pascals_triangle.Solution@generate(int):25:j - 1 |==> j / 1
33:AOR:-(int,int):%(int,int):g0101_0200.s0118_pascals_triangle.Solution@generate(int):25:i - 1 |==> i % 1
34:AOR:-(int,int):*(int,int):g0101_0200.s0118_pascals_triangle.Solution@generate(int):25:i - 1 |==> i * 1
35:AOR:-(int,int):+(int,int):g0101_0200.s0118_pascals_triangle.Solution@generate(int):25:i - 1 |==> i + 1
36:AOR:-(int,int):/(int,int):g0101_0200.s0118_pascals_triangle.Solution@generate(int):25:i - 1 |==> i / 1
37:AOR:+(int,int):%(int,int):g0101_0200.s0118_pascals_triangle.Solution@generate(int):25:output.get(i - 1).get(j - 1) + output.get(i - 1).get(j) |==> output.get(i - 1).get(j - 1) % output.get(i - 1).get(j)
38:AOR:+(int,int):*(int,int):g0101_0200.s0118_pascals_triangle.Solution@generate(int):25:output.get(i - 1).get(j - 1) + output.get(i - 1).get(j) |==> output.get(i - 1).get(j - 1) * output.get(i - 1).get(j)
39:AOR:+(int,int):-(int,int):g0101_0200.s0118_pascals_triangle.Solution@generate(int):25:output.get(i - 1).get(j - 1) + output.get(i - 1).get(j) |==> output.get(i - 1).get(j - 1) - output.get(i - 1).get(j)
40:AOR:+(int,int):/(int,int):g0101_0200.s0118_pascals_triangle.Solution@generate(int):25:output.get(i - 1).get(j - 1) + output.get(i - 1).get(j) |==> output.get(i - 1).get(j - 1) / output.get(i - 1).get(j)
41:STD:<CALL>:<NO-OP>:g0101_0200.s0118_pascals_triangle.Solution@generate(int):26:currRow.add(currCell); |==> <NO-OP>
42:STD:<CALL>:<NO-OP>:g0101_0200.s0118_pascals_triangle.Solution@generate(int):29:output.add(currRow); |==> <NO-OP>
