1:ROR:<(int,int):!=(int,int):g0901_1000.s0925_long_pressed_name.Solution@isLongPressedName(java.lang.String,java.lang.String):11:typed.length() < name.length() |==> typed.length() != name.length()
36:STD:<RETURN>:<NO-OP>:g0901_1000.s0925_long_pressed_name.Solution@isLongPressedName(java.lang.String,java.lang.String):20:return false; |==> <NO-OP>
37:STD:<INC>:<NO-OP>:g0901_1000.s0925_long_pressed_name.Solution@isLongPressedName(java.lang.String,java.lang.String):22:j++; |==> <NO-OP>
38:STD:<ASSIGN>:<NO-OP>:g0901_1000.s0925_long_pressed_name.Solution@isLongPressedName(java.lang.String,java.lang.String):24:prev = name.charAt(i); |==> <NO-OP>
39:STD:<INC>:<NO-OP>:g0901_1000.s0925_long_pressed_name.Solution@isLongPressedName(java.lang.String,java.lang.String):25:i++; |==> <NO-OP>
40:STD:<INC>:<NO-OP>:g0901_1000.s0925_long_pressed_name.Solution@isLongPressedName(java.lang.String,java.lang.String):26:j++; |==> <NO-OP>
41:ROR:<(int,int):!=(int,int):g0901_1000.s0925_long_pressed_name.Solution@isLongPressedName(java.lang.String,java.lang.String):28:i < name.length() |==> i != name.length()
42:ROR:<(int,int):<=(int,int):g0901_1000.s0925_long_pressed_name.Solution@isLongPressedName(java.lang.String,java.lang.String):28:i < name.length() |==> i <= name.length()
43:ROR:<(int,int):FALSE(int,int):g0901_1000.s0925_long_pressed_name.Solution@isLongPressedName(java.lang.String,java.lang.String):28:i < name.length() |==> false
44:STD:<RETURN>:<NO-OP>:g0901_1000.s0925_long_pressed_name.Solution@isLongPressedName(java.lang.String,java.lang.String):29:return false; |==> <NO-OP>
45:ROR:<(int,int):!=(int,int):g0901_1000.s0925_long_pressed_name.Solution@isLongPressedName(java.lang.String,java.lang.String):31:j < typed.length() |==> j != typed.length()
46:ROR:<(int,int):<=(int,int):g0901_1000.s0925_long_pressed_name.Solution@isLongPressedName(java.lang.String,java.lang.String):31:j < typed.length() |==> j <= typed.length()
47:ROR:<(int,int):FALSE(int,int):g0901_1000.s0925_long_pressed_name.Solution@isLongPressedName(java.lang.String,java.lang.String):31:j < typed.length() |==> false
48:ROR:!=(int,int):<(int,int):g0901_1000.s0925_long_pressed_name.Solution@isLongPressedName(java.lang.String,java.lang.String):32:typed.charAt(j) != prev |==> typed.charAt(j) < prev
49:ROR:!=(int,int):>(int,int):g0901_1000.s0925_long_pressed_name.Solution@isLongPressedName(java.lang.String,java.lang.String):32:typed.charAt(j) != prev |==> typed.charAt(j) > prev
50:ROR:!=(int,int):TRUE(int,int):g0901_1000.s0925_long_pressed_name.Solution@isLongPressedName(java.lang.String,java.lang.String):32:typed.charAt(j) != prev |==> true
51:STD:<RETURN>:<NO-OP>:g0901_1000.s0925_long_pressed_name.Solution@isLongPressedName(java.lang.String,java.lang.String):33:return false; |==> <NO-OP>
