1:ROR:<=(int,int):<(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):17:i <= n |==> i < n
20:COR:&&(boolean,boolean):LHS(boolean,boolean):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):18:i % 3 == 0 && i % 5 == 0 |==> i % 3 == 0
21:COR:&&(boolean,boolean):RHS(boolean,boolean):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):18:i % 3 == 0 && i % 5 == 0 |==> i % 5 == 0
22:STD:<CALL>:<NO-OP>:g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):19:result.add("FizzBuzz"); |==> <NO-OP>
23:AOR:%(int,int):*(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):20:i % 3 |==> i * 3
24:AOR:%(int,int):+(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):20:i % 3 |==> i + 3
25:AOR:%(int,int):-(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):20:i % 3 |==> i - 3
26:AOR:%(int,int):/(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):20:i % 3 |==> i / 3
27:ROR:==(int,int):<=(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):20:i % 3 == 0 |==> i % 3 <= 0
28:ROR:==(int,int):>=(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):20:i % 3 == 0 |==> i % 3 >= 0
29:ROR:==(int,int):FALSE(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):20:i % 3 == 0 |==> false
30:STD:<CALL>:<NO-OP>:g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):21:result.add("Fizz"); |==> <NO-OP>
31:AOR:%(int,int):*(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):22:i % 5 |==> i * 5
32:AOR:%(int,int):+(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):22:i % 5 |==> i + 5
33:AOR:%(int,int):-(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):22:i % 5 |==> i - 5
34:AOR:%(int,int):/(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):22:i % 5 |==> i / 5
35:ROR:==(int,int):<=(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):22:i % 5 == 0 |==> i % 5 <= 0
36:ROR:==(int,int):>=(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):22:i % 5 == 0 |==> i % 5 >= 0
37:ROR:==(int,int):FALSE(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):22:i % 5 == 0 |==> false
38:STD:<CALL>:<NO-OP>:g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):23:result.add("Buzz"); |==> <NO-OP>
39:STD:<CALL>:<NO-OP>:g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):25:result.add(Integer.toString(i)); |==> <NO-OP>
