1:ROR:==(int,int):<=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):18:ints[0] == 0 |==> ints[0] <= 0
27:ROR:<(int,int):FALSE(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):40:i < m |==> false
28:ROR:<(int,int):!=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):41:j < n |==> j != n
29:ROR:<(int,int):<=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):41:j < n |==> j <= n
30:ROR:<(int,int):FALSE(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):41:j < n |==> false
31:ROR:==(int,int):<=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):42:matrix[i][0] == 0 |==> matrix[i][0] <= 0
32:ROR:==(int,int):>=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):42:matrix[i][0] == 0 |==> matrix[i][0] >= 0
33:ROR:==(int,int):FALSE(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):42:matrix[i][0] == 0 |==> false
34:ROR:==(int,int):<=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):42:matrix[0][j] == 0 |==> matrix[0][j] <= 0
35:ROR:==(int,int):>=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):42:matrix[0][j] == 0 |==> matrix[0][j] >= 0
36:ROR:==(int,int):FALSE(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):42:matrix[0][j] == 0 |==> false
37:COR:||(boolean,boolean):!=(boolean,boolean):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):42:matrix[i][0] == 0 || matrix[0][j] == 0 |==> matrix[i][0] == 0 != (matrix[0][j] == 0)
38:COR:||(boolean,boolean):LHS(boolean,boolean):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):42:matrix[i][0] == 0 || matrix[0][j] == 0 |==> matrix[i][0] == 0
39:COR:||(boolean,boolean):RHS(boolean,boolean):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):42:matrix[i][0] == 0 || matrix[0][j] == 0 |==> matrix[0][j] == 0
40:COR:||(boolean,boolean):TRUE(boolean,boolean):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):42:matrix[i][0] == 0 || matrix[0][j] == 0 |==> true
41:STD:<ASSIGN>:<NO-OP>:g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):43:matrix[i][j] = 0; |==> <NO-OP>
42:ROR:<(int,int):!=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):48:i < m |==> i != m
43:ROR:<(int,int):<=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):48:i < m |==> i <= m
44:ROR:<(int,int):FALSE(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):48:i < m |==> false
45:COR:<IDENTIFIER(boolean)>:TRUE:g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):49:col0 |==> false
46:COR:<IDENTIFIER(boolean)>:FALSE:g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):49:col0 |==> true
47:STD:<ASSIGN>:<NO-OP>:g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):50:matrix[i][0] = 0; |==> <NO-OP>
48:ROR:<(int,int):!=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):54:i < n |==> i != n
49:ROR:<(int,int):<=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):54:i < n |==> i <= n
50:ROR:<(int,int):FALSE(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):54:i < n |==> false
51:COR:<IDENTIFIER(boolean)>:TRUE:g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):55:row0 |==> false
52:COR:<IDENTIFIER(boolean)>:FALSE:g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):55:row0 |==> true
53:STD:<ASSIGN>:<NO-OP>:g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):56:matrix[0][i] = 0; |==> <NO-OP>
